trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,10,15.405646580947371,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,7,-2.983792728124822,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,3,-24.930924638467214,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,0,27.661484774154886,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,0,0.5173503479420549,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,7,-1.5215132649096634,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",35,10,-46.31399237931995,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",25,10,-38.13133407230486,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,8,-7.243664190781828,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,16,-1.884231674949865,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",20,8,20.04034223607485,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,12,5.928222793230016,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",25,13,19.10521409494038,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,0,-23.249886052843035,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,0,-82.21647634141728,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,0,-31.107874511597192,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,0,-34.08444100255194,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,6,3.2997751645954985,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",30,3,-81.28384287535671,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 2}",1
