trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,0,-68.36038212568026,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,0,-86.88327543255069,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,0,-110.11603818819779,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-116.44874869935522,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,-57.23452993362434,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",30,0,-88.65136112659631,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,13,4.409883999500175,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,0,-129.35717907121796,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-27.133013825973965,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-120.2577111867777,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,0,18.907474782198335,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.559898366565402}",25,0,-161.2102030704937,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",1
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-46.07847309605773,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,-20.321799528925595,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,10,-38.0044439682779,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-86.84673960032532,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
